from_name,message,created_time,link,likes_count,comments_count,shares_count,title,Date,Time,z_like,z_comments,z_share
TEEPR 趣味新聞,這一點都不科學,2016-12-20T10:40:110000,http://www.teepr.com/617453/jonhsieh/71%e6%ad%b2%e6%bd%98%e8%bf%8e%e7%b4%ab%e9%87%8d%e8%bf%94%e5%be%ae%e5%8d%9a/,4661,66,187,71歲潘迎紫重返微博，首發廣告幕後美腿照讓網友回「17歲才對吧？！」,1220,104011,-0.272918373,-0.134973891,-0.282331318
TEEPR 趣味新聞,好詭異的生物！,2016-12-20T10:20:070000,http://www.teepr.com/617630/jonhsieh/%e6%9c%89%e8%91%973%e5%84%84%e5%b9%b4%e6%ad%b7%e5%8f%b2%e7%9a%84%e6%b4%bb%e5%8c%96%e7%9f%b3%e9%ac%bc%e9%af%8a%e7%94%9f%e6%ae%96%e5%99%a8%e9%95%b7%e8%87%89%e4%b8%8a/,16179,90,1361,3億年歷史的活化石「鬼鯊」臉部有圖案，「生殖器長臉上」超驚奇！,1220,102007,1.221562886,0.037123489,1.769721282
TEEPR 趣味新聞,會氣到吐血,2016-12-20T10:01:210000,http://www.teepr.com/612216/adrianchiang/%e4%b8%80%e5%b9%b4%e7%a9%8d%e8%93%84%e5%85%a8%e8%a2%ab%e5%85%92%e5%ad%90%e6%89%93%e8%b3%9e%e9%81%8a%e6%88%b2%e5%af%a6%e6%b3%81%e4%b8%bb/,5315,68,94,清寒爸媽辛苦存14萬卻領不出錢，悲慘發現全被兒子「拿去孝敬」遊戲主播！,1220,100121,-0.188060694,-0.120632443,-0.444887444
TEEPR 趣味新聞,狗狗不輸人類兄弟姊妹！,2016-12-20T09:40:130000,http://www.teepr.com/615092/jonhsieh/36%e5%bc%b5%e8%b6%85%e8%90%8c%e5%b0%8f%e5%ad%a9%e8%88%87%e5%a4%a7%e7%8b%97/,5017,14,298,36張超萌小孩與大狗合照，會讓人看到「狗狗比人更好」！,1220,94013,-0.226726731,-0.50785155,-0.088312716
TEEPR 趣味新聞,不一定要生孩子啊，並不是理所當然,2016-12-20T09:20:160000,http://www.teepr.com/615090/jonhsieh/%e4%bb%80%e9%ba%bc%e6%99%82%e5%80%99%e6%89%8d%e8%a6%81%e7%94%9f%e5%b0%8f%e5%ad%a9%e5%a4%ab%e5%a9%a6po%e8%b6%85%e8%90%8c%e7%85%a7%e7%89%87/,1517,11,24,不想再被煩說「什麼時候才要生小孩」，這對夫婦PO超萌照片回擊！,1220,92016,-0.680858039,-0.529363722,-0.567241517
TEEPR 趣味新聞,感覺在買六合彩呢,2016-12-20T09:01:070000,http://www.teepr.com/615532/cindyleung/%e7%b6%b2%e5%8f%8b%e5%9c%a8%e6%b7%98%e5%af%b6%e8%b2%b7%e5%90%b9%e9%a2%a8%e6%a9%9f%e4%b8%80%e6%89%93%e9%96%8b%e8%ae%8a%e3%80%8c%e5%99%b4%e7%81%ab%e6%ad%a6%e5%99%a8%e3%80%8d%e8%b6%85%e5%8f%af%e6%80%95/,2219,33,70,網友在淘寶買吹風機一打開變「噴火武器」超可怕！網友：「做菜防身又可取暖！」,1220,90107,-0.589772274,-0.37160779,-0.486837412
TEEPR 趣味新聞,好過分！,2016-12-20T08:30:120000,http://www.teepr.com/617586/angelpan/%e8%aa%a0%e5%af%a6%e5%95%86%e5%ba%97%e6%9a%ab%e5%81%9c%e7%87%9f%e6%a5%ad/,2626,44,40,「誠實商店」驚傳撐不下去停業！最壞榜樣「媽媽帶孩子偷東西」慘壓垮老闆！,1220,83012,-0.53696329,-0.292729824,-0.539274872
TEEPR 趣味新聞,你看得出來嗎？,2016-12-20T08:00:180000,http://www.teepr.com/617595/jonhsieh/36%e5%bc%b5%e8%a2%ab%e5%ae%ae%e5%b4%8e%e9%a7%bf%e8%b7%9f%e6%8f%90%e5%a7%86%e6%b3%a2%e9%a0%93%e9%a2%a8%e6%a0%bc%e6%8f%92%e7%95%ab/,18715,73,2543,36張有智慧的人才能看懂的「宮崎駿風格」心靈深度插畫！,1220,80018,1.550613457,-0.084778822,3.835757205
TEEPR 趣味新聞,真正確定了,2016-12-20T07:30:090000,http://www.teepr.com/617452/angelpan/%e5%b7%9d%e6%99%ae%e8%b4%8f%e7%be%8e%e5%9c%8b%e9%81%b8%e8%88%89%e4%ba%ba%e5%9c%98%e7%a2%ba%e5%ae%9a%e7%95%b6%e9%81%b8/,1909,5,5,川普確定正式當選總統，但選舉人團「跑票人數」卻創下歷史新高！,1220,73009,-0.629995333,-0.572388067,-0.600451908
TEEPR 趣味新聞,好可惡！,2016-12-20T07:00:470000,http://www.teepr.com/615342/angelpan/%e5%b8%b6%e7%8b%97%e7%8b%97%e5%8e%bb%e5%89%b2%e9%9b%99%e7%9c%bc%e7%9a%ae%e6%9a%b4%e6%96%83/,2269,102,85,主人嫌狗狗「眼睛太小、皮太皺」竟強迫「割雙眼皮」！狗狗慘暴斃…,1220,70047,-0.583284684,0.12317218,-0.460618682
